txnId,txnDate,clientCode,acctCode,memo,entryType,txnAmount,docNumber,paymentType,txnStatus,expenseCategory
T-10001,2024-01-10,XYZ-001,102,Customer payment,CR,22500.00,INV-10001,WIRE,POSTED,REVENUE
T-10002,2024-01-12,XYZ-001,500,Merchandise purchase,DR,12000.00,PO-10001,CHECK,POSTED,COGS
T-10003,2024-01-15,XYZ-002,410,Consulting fee,CR,3500.00,INV-10002,EFT,POSTED,REVENUE
T-10004,2024-01-18,XYZ-002,620,Monthly rent,DR,2800.00,RENT-0124,CHECK,POSTED,OPEX
T-10005,2024-01-20,XYZ-003,110,Invoice billed,DR,8500.00,INV-10003,CARD,PENDING,AR
T-10006,2024-01-22,XYZ-003,610,Weekly payroll,DR,18500.00,PR-0124-1,ACH,POSTED,PAYROLL
T-10007,2024-01-25,XYZ-004,400,Product sale,CR,45000.00,INV-10004,WIRE,POSTED,REVENUE
T-10008,2024-01-28,XYZ-004,200,Supplier payment,CR,15200.00,AP-10001,EFT,POSTED,AP
T-10009,2024-01-30,XYZ-005,153,Computer purchase,DR,8500.00,PO-10002,LEASE,PENDING,CAPEX
T-10010,2024-02-01,XYZ-005,640,Quarterly insurance,DR,2400.00,INS-Q1,EFT,POSTED,OPEX
T-10011,2024-02-05,XYZ-006,400,Freight services,CR,125000.00,INV-10005,WIRE,POSTED,REVENUE
T-10012,2024-02-08,XYZ-006,660,Audit fees,DR,5500.00,AUDIT-2024,CHECK,POSTED,PROFSVCS
T-10013,2024-02-10,XYZ-007,430,Donation received,CR,15000.00,DON-10001,CHECK,POSTED,REVENUE
T-10014,2024-02-12,XYZ-007,630,Electric bill,DR,1850.00,UTIL-0224,EFT,POSTED,OPEX
T-10015,2024-02-15,XYZ-008,680,Social media ads,DR,3200.00,MKT-10001,CARD,PENDING,MARKETING
T-10016,2024-02-18,XYZ-008,400,Catering revenue,CR,28000.00,INV-10006,CASH,POSTED,REVENUE
T-10017,2024-02-20,XYZ-009,410,Software license,CR,75000.00,INV-10007,WIRE,POSTED,REVENUE
T-10018,2024-02-22,XYZ-009,610,Developer salaries,DR,85000.00,PR-0224-1,ACH,POSTED,PAYROLL
T-10019,2024-02-25,XYZ-010,660,Legal retainer,DR,2500.00,LEGAL-10001,CHECK,POSTED,PROFSVCS
T-10020,2024-02-28,XYZ-010,420,Interest earned,CR,185.00,INT-0224,BANK,POSTED,OTHER
T-10021,2024-03-01,XYZ-011,520,Steel purchase,DR,42000.00,PO-10003,WIRE,POSTED,COGS
T-10022,2024-03-05,XYZ-011,400,Product shipment,CR,95000.00,INV-10008,EFT,POSTED,REVENUE
T-10023,2024-03-08,XYZ-012,102,Patient payment,CR,1200.00,PAT-10001,CARD,VOID,REVENUE
T-10024,2024-03-10,XYZ-001,710,Monthly bank fee,DR,45.00,BANK-0324,FEE,POSTED,BANKFEES
T-10025,2024-03-12,XYZ-002,670,Monthly depreciation,DR,1200.00,DEP-0324,JE,POSTED,DEPR
